158명 압사 참사 ... 이것은 결코 평범한 참사가 아니다. 원인이 복합적이고 후진적인 것이다그 원인 중에 이태원 상인회와 참사 지점 주위에 있는 상인들... 당신들의 책임도 없지 않다 (굳이 설명하지 않겠다) 안타깝지만 이젠 끝났다.피해를 최소화 하기 위해 떠나는 게 답이다.,
유흥가를 조용한 거리로 만들기.국가에서 잘 했네요. 참사 장례가 끝.파업들하니 책임도 슬슬 줄고어쨌든 법으로 잘 통치 하는 모습이 영원히 갈것 같습니다.,
어쩌라고 상인들도 책임이지 죽어가는 사람들 보고서도 자기 잇속만 챙긴 놈들 경찰 통제 자제하라고 미리 요청하고 가게문 꽁꽁 걸어잠궜던 놈들 니들도 고통받아라,
놀다가 죽었는데누구책임  사림많은곳에 못가게  해야지놀러못가게한  부모책임 이야,
그러게 각종 이벤트 유튜버 1인미디어 홍보하면서 사람 모이게 해놓구선.. 자신들이 축제를 만들었으면 책임을 져야지.. 돈만 쏙 벌고 빠지려 했으니 ㅉㅉ.. 그렇게 이태원 할로원 노래 부르던 1인미디어 인간들 입 닫고 있는 모습이나 니들이나..,
"솔직히 상인들이 제일 나쁨. 통제, 책임은 경찰, 정부에게 떠넘기고, 본인들은 돈 빨아먹는데만 급급했잖아. 쎄하다 싶음 자치적으로 상인들이 통제했어야지. 미디어에서 언급 안하니 입꾹에다 징징거리고 있네 ㅉㅉ 응?? 사람들 다 알고 있다~~ 게다가 사망자 속출하는데 댄스음악 틀고 있고, 건물 안으로 못드가게 막아?? ㅉㅉ",
"저기 상인분들은 인터뷰 하는거 보니, 책임은 경찰에게 있다는듯이 말하던군요. 그 기간동안  수많은 인파덕분에 매출로 돈은 벌었을텐데...  돈은 본인들이 벌고, 책임은 경찰과 공무원이 져야 하는게 과연 맞는지.....",
이태원창사에대한 상가번영회는 100%책임에대한 어떠한 입장도없다,
이태원 참사로 해서  상권이 죽어나가는것도 문제지만  서울시나  용산구청에서  다시 회복할수  있는 먼가 방안을세워야 한다고  봅니다..   한마디로   관광특구라는곳을  재개발해서  다시태어나는  이태원으로  만들어서   사람들을  오게 해야지  저렇게  방치하면  폐업하는 사람들만 생기고  보기도 안좋고   처참한 현장만 남아서  다시는  쳐다보는 사람도 없지 않을까  싶네요//오세훈 시장은  자기 본분을 안다면   이태원 관광특구 지역을  살리는 방안에 대해서  다시한번 모색을 해서 강구해야  시장으로서 책임을  다하는게  아닐까요..추가로  죽은 사람들에 대한  위령비라도  세워서  다시는  이런일이  안생기게   해야  되지 않을까 하는   그런생각도 해봅니다..//...,
"2찍들이 책임져야지.윤석열이가 행안부장관 이상민과 경찰청장에게  경찰들 3.000명을 배치하라고 명령만 했어도 이 사달이 났겠냐? 오롯이 윤석열 지만 지키라고 경찰 부대 2개를 용산에 배치했으니,어찌 국민들 생각을 하나도 안하냐?",
그만좀 할때 안됬나?? 놀러가는것도 자유고추모하는것도 자유인데 무슨 강요하는 분위기라서 싫음뒤늦게 압사사고 나니까 행동 바뀌고사람의 간사함의 끝을 보여주는거 같아서더 꼴보기가 싫음 서비스업 오래 일해봤고 술마시고 개판치고 통제안되는 인간들아주 많이봤는데 깨끗한척 하는 인간들 보면혐오 엄청나게 됨...그리고 1주일이 지났는데도 누구 책임이냐고 저격하고 잘못 따지고 그만했으면 좋겠다죽은 사람은 돌아오는것도 아니고 책임 따져서 뭐하게 미래에 뭐가 바뀐다고 생각하나절대 안바뀐다...  바뀌었으면 사고가 났을것 같음?많은 참사들이 일어나도 잠깐 한달 두달 이슈화되다가 잊혀짐... 같은 실수 반복하는게 인간인데,
이제다시 코로나 끝나고 재기해보려는 영세자영업자분들 참...이중으로 힘드시겠네..이 모든 책임은 누구의 것이란말인가...죽은자들이 가장 가엾지..남은 가족들..그리고 이렇게 불똥  튄 자영업자분들 하루만 영업  못해도 타격이 클텐데..절대 있어선안될  일이 벌어져 가슴아프다,
"불법 증축, 무허가 건축물들 방조묵인한 상인회의 책임부터 먼저 따져라",
가장 큰 책임은이태원상인들!!!돈에 눈이 멀어...,
눈깔로 상황을 봤을텐데 그 요란한 음악이라도 껏으면 뒤로가달라는 손짓을 밀라는 소리로 들어서 깔아 죽은건 어떻게 생각하냐? 상인들 책임 없다고 생각하나? 상인중에 119 112 신고하고 살리려고 한 놈들 몇이나 되는지 되묻고 싶다.,
"지역 소상공인분들.. 지역 경제가 심히 걱정되실 듯 한 점 공감합니다. 그러나 형평성을 고려해 봅시다.정부에 등록 안 한 축제면 소상공인 여러분 스스로가 지역 축제 안전에 책임질 정책 만들고 관리할 의무가 있습니다. 예를들어 제가 현대자동차 다니는데 ㅡ 대전 영업장에서 정규 본사발 캠페인도 아닌…. 영업장 자체 크리스마스 이벤트를 하다가 안전 사고났습니다…. 이건 대전 영업장 책임입니다. 전국 몇백개가 넘는 각 영업장의 할로윈 이벤트를 정의선 회장에 미리 보고할까요? 큰 조직 생활 해 본 사람만 알 수준인가요? 보고 안되죠.만약 대전 영업장이 지역구 영업장한테 사람 몰린다고 안전 요원 추가를 요청했다면… 충청도에서 수습을 하겠죠.대전 영업장에서 크리스마스 이벤트 사고 낸 걸로 현대자동차 정의선 회장 자르고, 기간사업 이끌던 R&D 남양연구소에서 하던 미래차 사업이나 미케팅, 제조 공장, 부품 하청사며 해외에 나간 밥인 대리점에 뿌려놓은 정책은.. 다 흔들리고 변할텐데… 그룹사 계열사 하청만 몇백개인데 거기 딸린 가족들…  몇십만명 몇백만명에  ㅡ 대전 영업장에 피해금 갚아야 한다고 월급 줄이는 부정적인 영향 줄까요?? 그리고 사고 예견 했다면서 ㅡ 왜 안전한 수준으로 입장객 제한 안 한건지? 죽어가는데… 음악 안 끄고ㅡ사람 죽어가는데 술 판건지ㅡ?모순입니다… 전 이 대목에서…. 직장인으로서 말의 앞뒤가 안 맞는 것 같습니다. 유리지갑 직장인들은 밀어ㅡ밀어ㅡ 한 고의 사고에 저희 세금 들어가는 것 반대입니다. 사고가 예견 가능했었다면 안전한 수준까지만 받고 돌려보던지 귀가하라고 했어야죠..! 그 업주들은 죗값 받아야 합니다….그래야 이태원 소상공인들도 이성적으로 정화시킬 노력은 한다고 공감 받을 수 있습니다.이성적으로 공감 받을만한 행동 안 하면이태원 안 갈 겁니다.",
정부 책임.경찰책임.시민책임슬프다  생각  안함,
언론도책임에서자유로울수있냐?방송사도무한책임져라! 그렇게할윈 홍보하고취재하고방송보도했으면서사고예견할수있었는데방송사들은뭐했냐?,
코로나 때문에라도 저 장소는 가지 않는게 맞는 거였다 애초에.불과 작년만 해도 식당에 5인이 되네 4인이 되네 이러면서 거리두고 살았던 거 생각해봐.그래도 행여 인원수 조금이라도 넘기면 무슨 개념을 어디 쳐박아두고 사는 말종 취급 했던게 거리두기 해제하면서 자유로운 영혼들이고 막 그래?뭐가 맞는 지 순서는 적어도 따져라.그 말이 맞다면 데모고 책임 추긍이고 그 때 해도 안 늦어 ㅉ,
니네도 나라  책임하고 원금좀 달라해라 적자등등,
놀다가 객사한 분들은 나라에서 전사자 대우해주는데  이분들은 누가 책임지나요?,
이태원에 모든 상점은 당연히 아니겠지만분명히 사고에 책임이 있는 가게도 있는거 아닌가?불법건출물 가건물이나 도로점유물 등최소한 상인회는 좀 반성해야 한다고 생각한다어쨌든 상인회 당신들이 일조한 축제 아닌가?제가 좀 잘못생각하는 거라면 말씀부탁드립니다,
제일 윗선의 책임자들은 아무런 죄책감없이 잘~ 지낸다는 ㅡㅡ,
"그날 참사에 대통령이 직접적 책임은 없지만 용산집무실을 조성하면서 기존 광화문ㆍ종로중심 경찰력이 갑자기 준비도 안된 상태에서 용산으로 이동시키면서 용산서가 한남동 대사관 지역과 용산 대통령 집무실에 경찰력을 집중시키게 만들었으므로 (하필 그날 삼각지에 시위대도 있었음) 이태원 참사에  있어 인과관계를 제공하긴 했으므로 이에 대한 대국민사과담화문 정도는 발표했어야 하는데 전혀 그러지 않고 있는 건 문제고 비정상이다.책임져야 할 사람이라면 행안부장관, 용산구청장, 용산경찰서장인데 이 또한 당사자들은 비겁하고 뻔뻔하게도 리더, 공직자답지 못한 모습만 보이고 있고 심지어 대통령이란 인간은 그걸 감싸주고 있으니 국민의 대통령인지 그저 검찰과 자기사람들만의 대통령인지 도대체가 알 수 없는 상태다.여당이면서 저런 사람을 대통령으로 추대한 국민의 힘이라도 책임있고 상식적인 모습을 보여야 하는데 세월호 때나 지금이나 무능하고 무책임하고 뻔뻔한 모습은 한결같으니 이 나라는 현재 대통령도, 리더도, 여당도 없는 상황이다.",
유가족들 피해자 코스프레하지말고 진짜 피해자인 이태원 자영업자들 찾아뵈서 사비로 영업손실비용 보상해주고 사죄드려라 !!! 자식놈들 이태원 가는거 못막은 잘못은 치뤄야지 ? 나라가 책임질게 아니고 유가족 니들이 책임져야지 ?,
재발방지   안전대책 책임자처벌이   먼저아니냐?,
다는 아니지만 해수욕장에 가면 시즌때는 상가회에서 질서 및 안전을 위해 알바생들을 고용하기도 한다. 그런데 이태원은 뭘 했는가. 사건이 터진 와 중에도 술을 팔고 음악을 틀고.....최소한 이태원 상가연합회 같은 곳에서 아니 매장들이 자발적으로 인원 제한 및 안전에 대한 조치를 최소한이라도 했어야 하는 것이 아닌가. 공권력에 책임을 다 돌린다면 만약 그 공권력이 안전에 대한 강한 제재를 한다면 어떻게 할 것인가...,
헐 ~~  오이려 책임이 있는건 아닌지 조사해야지.,
난! 그런생각을 해본다! 과연 나만 그렇게 생각 할거라고 생각하지 않아 말하려고 한다  그곳의 실태를 누구보다도 더 세세히 잘알고 세밀하게 검토 해봤을 주민들과 상인들 과연 그들은 그곳의 상황이 어떤 곳이였는지 몰랐다 자신있게 말할수 있는지 묻고싶고...심지어 경찰이 들어오면 장사에 방해가 된다고 했다는데 이게 기정 사실이라면 정말! 무책임하고 경악할 일이다.  난! 돈조금 덜 벌어도 안전과 잘서유지 확립이 우선이고 치안이 우선이라 생각해본다.또한 그지역 근접에서 치안을 담당했던 전용산경찰서장 이임재의 무능 무책임함에서 비롯됐다!,
너희들도 책임이 있다!,
한국에 좋은데가 널렸는데 굳이 거기에 갈이유가 무엇인지...용산구청장 책임없다고 발뼘하는거 보고도 용산쪽에 놀러가고 싶은지,
야!그잘난유족들한테 책임지라고해!!특히 그방송에나와서 애비랑애미나와서 울면서 쇼한것들한테 보상하라고해!!이름도들어보지못한배우부모가먼가한것들~~민주당이얼마준다고한것같으니깐,
"백명넘게 죽었는데 누가 거길 즐거운 마음으로 놀러가겠나.. 돕는건 좋은데 도울거면 행안부장관, 용산구청장 등 책임자들 급여에서 까서 도와라! 왜 잘못은 걔들이 하고 책임은 국민 세금으로 매꾸냐?",
"이태원 소상공인. .그들은 책임이 없을까?  
흥청망청 광란의 짓거리를 부추긴 책임이 그들에겐 없다?   
그런 그들에게 지원?  
누구 돈으로?",
특별 재난지역으로 선포하면서 정부의 책임은없다하고,
뭘 먼저해야하는지 모르는 정부.그 상인들이 무조건 좋아할까?생태같은 애들이 그렇게 많이 죽었는데 책임지는 사람들이 없는데.지돈아니닌까 돈으로 회유.,
국가가 책임지려 않는 데ㆍ..왠? 특별지역? 세금을?....,
차량통제 상인회가 하지말랬다며. 니들도 이 참사에 어느정도 책임 있는거 아니냐? 전국상인회들 다 문제거든. 지들 영업권만 중시하는게. 왜 지원해?,
지원? 행사방관해서 돈만벌고 책임안지는 것들에게? 아니 무슨 민주당보다 더퍼주려고 하냐? 정권교채뭐하러했냐고. ㅅㅅ,
매해년 길목 미어 터졌어도...제일 상황을 잘 알고 있었을 사장들은.....경찰을 요청하지 않았다...? 하여간 사장들 책임이 가장 클 수도............ 이런 말  안하고 싶지만 그렇찮아.. . 오는 손님 안전하게 제일 신경 썼어야지,
이태원 1차 책임은 이태원상인들에게 있다! 책임있는 것들이 도리어 장사 안된다고 지원 받는다고? 미쳤구나!,
난! 그런생각을 해본다! 과연 나만 그렇게 생각 할거라고 생각하지 않아 말하려고 한다  그곳의 실태를 누구보다도 더 세세히 잘알고 세밀하게 검토 해봤을 주민들과 상인들 과연 그들은 그곳의 상황이 어떤 곳이였는지 몰랐다 자신있게 말할수 있는지 묻고싶고...심지어 경찰이 들어오면 장사에 방해가 된다고 했다는데 이게 기정 사실이라면 정말! 무책임하고 경악할 일이다.  난! 돈조금 덜 벌어도 안전과 잘서유지 확립이 우선이고 치안이 우선이라 생각해본다.또한 그지역 근접에서 치안을 담당했던 전용산경찰서장 이임재의 무능 무책임함에서 비롯됐다!,
너희들도 책임이 있다!,
한국에 좋은데가 널렸는데 굳이 거기에 갈이유가 무엇인지...용산구청장 책임없다고 발뼘하는거 보고도 용산쪽에 놀러가고 싶은지,
야!그잘난유족들한테 책임지라고해!!특히 그방송에나와서 애비랑애미나와서 울면서 쇼한것들한테 보상하라고해!!이름도들어보지못한배우부모가먼가한것들~~민주당이얼마준다고한것같으니깐,
"백명넘게 죽었는데 누가 거길 즐거운 마음으로 놀러가겠나.. 돕는건 좋은데 도울거면 행안부장관, 용산구청장 등 책임자들 급여에서 까서 도와라! 왜 잘못은 걔들이 하고 책임은 국민 세금으로 매꾸냐?",
"이태원 소상공인. .그들은 책임이 없을까?  
흥청망청 광란의 짓거리를 부추긴 책임이 그들에겐 없다?   
그런 그들에게 지원?  
누구 돈으로?",
특별 재난지역으로 선포하면서 정부의 책임은없다하고,
뭘 먼저해야하는지 모르는 정부.그 상인들이 무조건 좋아할까?생태같은 애들이 그렇게 많이 죽었는데 책임지는 사람들이 없는데.지돈아니닌까 돈으로 회유.,
국가가 책임지려 않는 데ㆍ..왠? 특별지역? 세금을?....,
"코로나로 존폐위기였다, 다시 살아보기위해 애쓰는 상인들을 눈감고 있으면, 경기가 더 안좋아지기도 하겠고 나라를 책임지고있는  사람들로서 당연히 돌아봐야한다고 생각합니다. 물론 생각지못한 돈이 나가니 당연히 아깝지만 서민경제가 돌아가야 나라가 안정되지않겠습니까? 모두 힘을 내어 활기차게 살아갈수있었으면 좋겠습니다.",
차량통제 상인회가 하지말랬다며. 니들도 이 참사에 어느정도 책임 있는거 아니냐? 전국상인회들 다 문제거든. 지들 영업권만 중시하는게. 왜 지원해?,
지원? 행사방관해서 돈만벌고 책임안지는 것들에게? 아니 무슨 민주당보다 더퍼주려고 하냐? 정권교채뭐하러했냐고. ㅅㅅ,
매해년 길목 미어 터졌어도...제일 상황을 잘 알고 있었을 사장들은.....경찰을 요청하지 않았다...? 하여간 사장들 책임이 가장 클 수도............ 이런 말  안하고 싶지만 그렇찮아.. . 오는 손님 안전하게 제일 신경 썼어야지,
이태원 1차 책임은 이태원상인들에게 있다! 책임있는 것들이 도리어 장사 안된다고 지원 받는다고? 미쳤구나!,
"천안함, 연평도 등 국민을 지키다가 부상을 당하거나 죽은 국인들 대우는 ㄱ같이 하면서 놀다가 죽은 사람들한테 왜 이렇게 해주는 건데? 놀다가 죽은 사람한테 이렇게 보상을 할 거면 교통사고로 사망한 사람도 보상해주고, 게임하다가 죽은 사람도 보상해주지 그러냐?? 그리고 지금 경기 안 좋아서 힘든 사람 쟤들 뿐이냐? 이태리 상가 경기 안 좋게 만든 사망자들 가족이 책임져야하는 거 아냐? 걔들이 멋대로 서로 밀다가 죽으면서 민폐 끼친거잖아? 하여간 나라 이상하다 돌아간다 진짜.. 세월호부터가 시작이었어 제기랄",
저딴데 가지마라. 고객들 안전도 책임지지 않고 경찰 탓만 하는 곳 왜가노. 이태원상인연합회는 유감 표명이라도 했냐???/,
"정부에서 주관한 행사도 아니였고, 서울시 주관한 행사도 아니였고 하다못해 민간 전시행사장도 아니였고 그냥 유흥거리에서 저렇게 비좁은 경사골목을 그 심야에 먹고 마시고 즐기겠다고 유흥을 위해 스스로들 모여서는 사람이 좀 많다 싶으면 다른쪽으로 우회하던가 아니면 다른곳을 가던가 해야하는데 미련하게 꾸역꾸역 모여서는 자기들끼리 엉켜넘어져서 사고가 난건데 왜 이걸가지고 정부가 책임져야 한다는 둥 책임을 지라고들 빽빽거리냐?? 안전불감증에 빠져서 저길 꾸역꾸역 끼어들어간 사람들 스스로 책임져야 하는거 아니냐??",
이태원 상인들도 자업자득이다. 본인들이 그날 경찰 배치자제하라고  회의기록에 남아 있던데.  하루 돈 신나게 벌려다 그렇게 된거잖아.  당신들도 책임에 벗어날 수 없어,
헤밀턴호텔과 이태원의 상인회도 책임이 없을수 있겠나......상술에 눈이 멀어서 고객들 안전에는 무심했던 책임이 있는 것이겠지.....누가 이태원에 가서 즐겁게 놀고 먹겠는가?,
이번 기회를 계기로 상인들과 언론들도 반성해야 된다. 돈 욕심만 있지 책임감이나 연대의식은 전혀 없는 사고 방식 고쳐야....,
이런 사고가 일어나 많은 사람들이 죽은건 안타깝지만  어떤기사보니 이태원 상인들이 경찰통제 자제를 요청해서 일이 커졌다는것은 무시할수없는 일이긴합니다. 그렇기때문에 파티의 주최자이자 사망자들의 사고에 일부 책임이있는 책임자자라는것도 무시할수없는거에요 어떤 한 상인이 집요하게 이 기사와 비슷한 기사마다 말을 막하며 댓글을 달고있는데 자신은 자영업자라서 세금 많이내서 억울해서 지원금 받아야되겠고 반대하는 국민들은 쥐꼬리만한 세금내면서 반대한다고  아주 되먹지도못한 말을 하더군요,
문잠궈버린 클럽들 .무단점거 ***호텔  일부러그러진 않았겟지만  사태를 악화시킨 도의적책임이 결국 장사가 안되는 것으로 리워딩되네. 삼가 고인분들의 명복을 빕니다.,
경찰한테 책임 떠넘기고 아몰랑 경찰 때문이야~라고 하는 한 이태원 갈일 없지. 누가봐도 거기 간 사람들한테 이익보는 사람들이 책임을 져야지. 앞으로도 그런 태도면 사고 또 나도 또 모른척. 인간적으로 가고 싶겠냐? 눈물의 참회를 하던 뭘하던 개선의지 보여주고 홍석천등 이태원 상인들 대대적 반성하지 않으면 미래없지. 난 그 골목이랑 관계없는데? 하는 순간 누가 그런데 가래? 누가 이태원 오래? 라는 말밖에 더되나,
"이태원에 대한 마음이 바뀌고 잊혀지겠냐? 바뀌면 니들이 그 비탈길과 좁은 골목길 넓히기 위해 니네 가게 자리 양보할거야? 거기도 문제지만 거의 벼랑같은데 만들어 놓은 가게들은 괜찮아 보이더냐? 상인들 스스로도 바뀔 의지가 있어야하지 않나? 상권이 이태원만 있는것도 아니고. 내 자식 말린다. 난.
그리고 지금부터 일어나는 사고는 100프로 참여자 책임아니겠나? 그러니 가고 싶겠냐?




 골목길",
참사의 책임은 이태원 상가들에게 있는대 상가들이 잘 못이 없다는 행태를 보이니 더 안가는거지.,
"그 좁은 골목에 클럽이 10개 넘어가는게 말이 되나. 이태원 상인들도 책임있다. 아무리 돈에 눈이 멀었어도 용산 구청,  의원들 구워삶아서 음식점도 클럽허가 받아낸게 대단함.",
도대체 언론에서 왜 할로윈을 떠들어 가지고 이 사고까지 발생하게 되었을까? 홍보한 언론도 책임을 져야 한다.,
"인파가 많아서 생긴 사고에 나라가 책임져야 한다면, 사람이 없어서 많은 상인들이 죽게 생겼으니 그것도 정부가 책임져야하지 않을까?",
당장굶어죽습니까? 지금그따위소리가나옵니까?이번사태에 당신들 책임은없서?,
"이태원 사고를 키운 민주당이 책임지고 개딸들이 가서 도와드려~이게다 사고를 전쟁화 시키는 사회의 악의 무리들때문이다 세월호도 얼마나 떠들더니 국정조사 결론도 못짓고 끝났다!!오히려 세월호 팔아 돈다해먹고 집권하니 딱 없던일로 만든 민주당!이것들이 이태원사건을 키워 세월호2 만들려하는데...아마 이번 유족들은 이용당하지 않을것!!! ((유족들 국가상대로 소송 선동 했지만~니네들에게 소송한다니...민주당,민들레,더탐사 안타까운 유족들에게 피해보상 모두해라!!!!))그리고 다 깜방가야지?!!!",
과학적 방역이라는 자율책임제는 사실상 방임과 다를바가 없다 국민의 안전역시도 개개인이 알아서 자율적으로 책임을 지고 지켜야하는 사회에선 언제죽을지도 모르는 위험한 지역에는 애시당초 발걸음을 하지 않는게 상책일 것이다,
누가 책임지랴??????????거기 간사람이 책임 져야지~~~~~~~~~,
참 멍청하고 무책임한 구청장이다. 공식적인 축제로 만들고 잘 관리했으면 계속 죽어가던 이태원 상권도 발전하고 참사도 막았을텐데… 에휴…,
"당신들도 집단 소송 걸어. 국가가 안전 책임 다하지 않아 상가 매출 떨어졌다고,.... 민주당 의원들과 합세하여 광화문 광장에서 촛불과 단식 투쟁하면 보상 나올껄. 눈빠진 세금인데.",
"이태원 뿐 아니라 전국의  식당 등이 거의 비슷한 침체 분위기이죠..... 누가 희생되었는지도 잘 모르고, 책임자 처벌도 소방, 경찰에게만 미루고 있는데 ㅉㅉㅉ....",
"연말에 이제 약쟁이들 어디로 모일까?? 이태원사고는 정치권에서 제도책임 뒤수습하고 미래세대를 위해서 경찰 검찰은 약쟁이들 잡고 사기꾼 잡고 피싱범 잡고해라..그리고 이태원사고를 기점으로이제 시위하면 참가자 명단 받아라..그래서 일정규모이상 주체대표나 단체에게 사회적비용 받아라 공공서비스, 사회적비용 그리고 다른사람들의 시간 비용, 감정비용을 저들이 막사용해서 문제가 많다본다 상습시위자들에게 비용청구해라 앞으로..",
놀러가서 죽었으니 본인 책임이라고 한총리도 그날 국가는 없었다고 하던데... 누가 가겠나..  외교하러가서 그나라 후진국이라고 대놓고 모욕도 주는 나라가 됐는데..  한국을 선진국앞에서 고꾸라졌다고 생각할거다,
150명이 넘게 죽엇는데 아무도 책임을 안지는 희안한 공정과 상식의 나라~,
"어린 희생자들 한테  죄스러워   거기가서  어떻게아무렇치않게  먹고  마시고  즐길수 있겠어요
상인들에겐  정말 미안한일이지만
시간이  필요하겠죠
상인분들도   끔찍한 기억이겠지만  
이런 비극을 막지못한  정부에  책임을  묻고
원망하세요",
이런 사고가 일어나 많은 사람들이 죽은건 안타깝지만 어떤기사보니 이태원 상인들이 경찰통제 자제를 요청해서 일이 커졌다는것은 무시할수없는 일이긴합니다. 그렇기때문에 파티의 주최자이자 사망자들의 사고에 일부 책임이있는 책임자라는것도 무시할수없는거에요 어떤 한 상인이 집요하게 이 기사와 비슷한 기사마다 말을 막하며 댓글을 달고있는데 자신은 자영업자라서 세금 많이내서 억울해서 지원금 받아야되겠고 반대하는 국민들은 쥐꼬리만한 세금내면서 반대한다고 아주 되먹지도못한 말을 하더군요,
"상인회도 도의적 책임에서 벗어나기 힘들지 않나? 상인들까지 세금 지원은 아닌것 같습니다만... 솔직히 지금 장례비도 국가에서 지원해주고 국가지원금도 과한데, 여기에 상인들까지 도와줘? 그 책임은 왜 국민세금으로 지는건지?",
참사의 가장큰책임은 이태원 상인들에게 있다. 돈벌어 먹으려 축제니 파티니 불러놓고 안전에는 무관심,
웃기고있네. 사람 그렇게 몰릴때 니들은 뭐했냐. 상인회에서 나서서 통제했어야지 경찰에 말했다 이한마디로 니들 책임은 없는거냐. 돈모아 사람써서 안전요원이라도 세워뒀어야지 책임은 안지고 돈버는거 좋냐. 인과응보다 어디서 지원책타령이냐.,
그런데 그동안 젊은이들상대로 꽤돈벌이좀하셨을텐데! 이번에 사태만안났어도  그런말도안돼는 괴물이벤트로 장사대목잡을라고 광고들한거 아닌가요? 돈쓸어담을때는 국가나 사회에 좋은일좀했나요? 꼭장사 안돼면 일어나서 정부에 책임돌리고 조금이라라도 손해안볼려는 속셈에 이젠 신물남니다! 알아서들 가께들빼서 다른데 알아보셰요 ~왜개인장사 적자를 정부에다 청구합니까? 그쪽들말고도 다른지역 장사들겨우먹고살아요!  그분들장사하는 사업체도 적자를 감수하고 입에 풀칠하려 하고있어요~왜위험하게 우리나라 명절도아니고 돈벌이에 외국귀신놀이에 이벤트를하시나여?,
말도 안되는 지원 바라지마라 양심이 있으면 평생속죄 하며 살아가야지 니들 상인회도 책임을 지울순 없으니까,
"님들 코로나로 지금까지 한국에서 몇명 사망했는지 암??  자그마치 3만명! 3만명이 넘었다구. 이거 명백한 전정권 잘못인데.. 
이거 책임 안짐? 1. 중국입국금지 안함 2. 백신 계약 제때 못해 백신접종 6개월 늦음. 3. 대다수의 자영업자들 망함 
니들 논리면 문정권이 살인자 아님? 
게다가 3만명 넘는 코로나 사망자들도 코로나 희생자라고 해야 논리가 맞지 않겠어? 근데 왜 코로나만 사망자냐? 
갠작으로 이태원 참사 사망자가 맞다고 생각함. 내가 아는 희생이란 말은 누군가를 위해 자신목숨을 내던지는거라 생각해",
이태원 참사에 상인들 책임도 크다 문을 닫아서 피해가 더 컸다 지원책 말도 안되고 이번 기회에 마약소굴철폐하라~~,
